Sample_ID	Study	Group
GSM494587	Lu_2010_Taiwan	tumor
GSM494588	Lu_2010_Taiwan	tumor
GSM494589	Lu_2010_Taiwan	tumor
GSM494590	Lu_2010_Taiwan	tumor
GSM494591	Lu_2010_Taiwan	tumor
GSM494592	Lu_2010_Taiwan	tumor
GSM494593	Lu_2010_Taiwan	tumor
GSM494594	Lu_2010_Taiwan	tumor
GSM494595	Lu_2010_Taiwan	tumor
GSM494596	Lu_2010_Taiwan	tumor
GSM494597	Lu_2010_Taiwan	tumor
GSM494598	Lu_2010_Taiwan	tumor
GSM494599	Lu_2010_Taiwan	tumor
GSM494600	Lu_2010_Taiwan	tumor
GSM494601	Lu_2010_Taiwan	tumor
GSM494602	Lu_2010_Taiwan	tumor
GSM494603	Lu_2010_Taiwan	tumor
GSM494604	Lu_2010_Taiwan	tumor
GSM494605	Lu_2010_Taiwan	tumor
GSM494606	Lu_2010_Taiwan	tumor
GSM494607	Lu_2010_Taiwan	tumor
GSM494608	Lu_2010_Taiwan	tumor
GSM494609	Lu_2010_Taiwan	tumor
GSM494610	Lu_2010_Taiwan	tumor
GSM494611	Lu_2010_Taiwan	tumor
GSM494612	Lu_2010_Taiwan	tumor
GSM494613	Lu_2010_Taiwan	tumor
GSM494614	Lu_2010_Taiwan	tumor
GSM494615	Lu_2010_Taiwan	tumor
GSM494616	Lu_2010_Taiwan	normal
GSM494617	Lu_2010_Taiwan	normal
GSM494618	Lu_2010_Taiwan	normal
GSM494619	Lu_2010_Taiwan	normal
GSM494620	Lu_2010_Taiwan	normal
GSM494621	Lu_2010_Taiwan	normal
GSM494622	Lu_2010_Taiwan	normal
GSM494623	Lu_2010_Taiwan	normal
GSM494624	Lu_2010_Taiwan	normal
GSM494625	Lu_2010_Taiwan	normal
GSM494626	Lu_2010_Taiwan	normal
GSM494627	Lu_2010_Taiwan	normal
GSM494628	Lu_2010_Taiwan	normal
GSM494629	Lu_2010_Taiwan	normal
GSM494630	Lu_2010_Taiwan	normal
GSM494631	Lu_2010_Taiwan	normal
GSM494632	Lu_2010_Taiwan	normal
GSM494633	Lu_2010_Taiwan	normal
GSM494634	Lu_2010_Taiwan	normal
GSM494635	Lu_2010_Taiwan	normal
GSM494636	Lu_2010_Taiwan	normal
GSM494637	Lu_2010_Taiwan	normal
GSM494638	Lu_2010_Taiwan	normal
GSM494639	Lu_2010_Taiwan	normal
GSM494640	Lu_2010_Taiwan	normal
GSM494641	Lu_2010_Taiwan	normal
GSM494642	Lu_2010_Taiwan	normal
GSM494643	Lu_2010_Taiwan	normal
GSM494644	Lu_2010_Taiwan	normal
GSM494645	Lu_2010_Taiwan	normal
GSM494646	Lu_2010_Taiwan	normal
GSM494647	Lu_2010_Taiwan	normal
GSM494648	Lu_2010_Taiwan	normal
GSM494649	Lu_2010_Taiwan	normal
GSM494650	Lu_2010_Taiwan	normal
GSM494651	Lu_2010_Taiwan	normal
GSM494652	Lu_2010_Taiwan	normal
GSM494653	Lu_2010_Taiwan	normal
GSM494654	Lu_2010_Taiwan	normal
GSM494655	Lu_2010_Taiwan	normal
GSM494656	Lu_2010_Taiwan	normal
GSM494657	Lu_2010_Taiwan	normal
GSM494658	Lu_2010_Taiwan	normal
GSM494659	Lu_2010_Taiwan	normal
GSM494660	Lu_2010_Taiwan	normal
GSM494661	Lu_2010_Taiwan	normal
GSM494662	Lu_2010_Taiwan	normal
GSM494663	Lu_2010_Taiwan	normal
GSM494664	Lu_2010_Taiwan	normal
GSM494665	Lu_2010_Taiwan	normal
GSM494666	Lu_2010_Taiwan	normal
GSM494667	Lu_2010_Taiwan	normal
GSM494668	Lu_2010_Taiwan	normal
GSM494669	Lu_2010_Taiwan	normal
GSM494670	Lu_2010_Taiwan	normal
GSM494671	Lu_2010_Taiwan	normal
GSM494672	Lu_2010_Taiwan	normal
GSM494673	Lu_2010_Taiwan	normal
GSM494674	Lu_2010_Taiwan	normal
GSM494675	Lu_2010_Taiwan	normal
